No smoothing
0.9058613632785854 +- 0.004165526455304719
0.8975334130174943 +- 0.004325850680215278
0.9005319148936171 +- 0.0042692000853285445
0.9027755915840285 +- 0.004226030579360576
0.8995204999730618 +- 0.004288440034944955
0.9014846235418876 +- 0.00425095246595045
0.9011564020721051 +- 0.004257252755889399
0.9049543946932007 +- 0.0041834486590976595
0.9020279167764024 +- 0.004240491891358142
0.9009555507837663 +- 0.004261101013086175
Affix length : 1
0.9359014348097318 +- 0.0034937698042626234
0.9406626350338554 +- 0.0033700485014632195
0.9354638535525908 +- 0.0035048553323726015
0.936357874722721 +- 0.00348215699038485
0.9373947982841939 +- 0.0034555848045856744
0.9393445295939997 +- 0.0034048855569794403
0.9369799774545065 +- 0.0034662470159095935
0.9365004457028997 +- 0.003478519234003352
0.9367530695770805 +- 0.003472061148120663
0.9372604609649814 +- 0.0034590424063498998
Affix length : 2
0.9374560434039988 +- 0.0034540069634798522
0.9352171637885923 +- 0.0035110845642642896
0.9352743803441931 +- 0.003509641072142309
0.937513083525225 +- 0.0034525366072500883
0.9339371337240278 +- 0.003543175011402932
0.937030332949372 +- 0.0034649550084547985
0.9309071447685309 +- 0.003617635678437014
0.9381983794947837 +- 0.0034348070614129093
0.9348605684311941 +- 0.003520063351015301
0.937605752961083 +- 0.003450146068460862
Affix length : 3
0.9328584895778779 +- 0.0035699202470422745
0.9347061258278145 +- 0.0035239427142223015
0.9335481720191132 +- 0.003552850300908614
0.9316916020530741 +- 0.003598555596313487
0.9317022384174909 +- 0.0035982959574123196
0.9348699513639247 +- 0.0035198274838210437
0.9334933850947541 +- 0.003554210294834369
0.9336658086658086 +- 0.00354992782586631
0.9326969745995793 +- 0.0035739021182742705
0.9353337863976162 +- 0.003508141512714653
Affix length : 4
0.9255768605784855 +- 0.00374382304956461
0.9294534521636422 +- 0.0036526392542019634
0.9255728206478799 +- 0.0037439164909501897
0.9272727272727272 +- 0.0037043112501236194
0.9296443503845558 +- 0.003648068480931787
0.9292367947496559 +- 0.0036578174173620332
0.9305968564146134 +- 0.003625145464495681
0.9211003470963063 +- 0.0038454404975525637
0.9313512955507381 +- 0.003606849412116752
0.9263735683749407 +- 0.003725332405133651
